Name,Price (Intraday),Change,Market Cap,Volume in Currency,Circulating Supply
Balancer Tetu Boosted Pool (USDC) USD,1.0077,0.0007,0,"578,392",0
Homie Wars USD,0.00000213,0.00000009,0,"1,084",0
NOSHIT USD,0,0,0,9,0
ftm.guru USD,831.33,14.03,0,892,0
Saber USD,0.000573,-0.000035,0,"54,908",0
Portability USD,0.00000462,-0.00000071,0,20,0
YOUR LAST CHANCE USD,5.7344,0,0,68,0
Hermes DAO USD,0.001127,0.000046,0,776,0
Changex USD,0.006817,0.000051,0,"21,672",0
Liquid Finance USD,798.27,-4.11,0,4,0
AtomPad USD,0.005017,0.000006,0,19,0
TURBO INU USD,0,0,0,12,0
MacaronSwap USD,0.050185,0.000159,0,"8,884",0
Billy Token USD,0.00000097,0.00000001,0,495,0
PARMA Fan Token USD,0.078731,-0.00061,0,"77,437",0
Berylbit Layer-3 Network (old) USD,0.000056,-0.000001,0,16,0
Hehe Ape Coin USD,0,0,0,N/A,0
Pinknode USD,0.001918,0,0,191,0
TIGGER USD,0.000286,0,0,148,0
Galaxy Finance USD,0.0083,-0.00001,0,39,0
Sheikh Pepe USD,0.00000087,-0.00000001,0,"5,137",0
CoW Protocol USD,0.071377,-0.00042,0,"6,678",0
BOY X HIGHSPEED USD,0.001628,-0.000031,0,"21,892",0
Bread USD,0,0,0,0,0
WINR Protocol USD,0.01996,-0.002299,0,"345,370",0
Sonic Suite USD,0.000358,0,0,154,0
kiwi USD,0.008478,-0.000649,0,"1,193",0
Dystopia USD,0.000211,-0.000004,0,65,0
Age of Tanks USD,0.000672,-0.000001,0,26,0
Ethereans USD,1.7016,0.1846,0,"11,495",0
Wonka Capital USD,0.00000002,0,0,666,0
FLOKI CEO USD,0,0,0,"197,517",0
NMKR USD,0.001905,-0.000023,0,"8,941",0
Black Token USD,0.000266,0.000069,0,"34,786",0
Wombex WOM USD,0.031523,-0.002627,0,669,0
GrabCoinClub USD,0.000891,-0.000058,0,"7,531",0
Tao Te Ching USD,19.4,-0.3,0,"4,987",0
Wrapped Elastos USD,1.3104,-0.0084,0,"2,717",0
Luzion Protocol USD,0.000017,0,0,37,0
Kaddex USD,0.013482,0.000105,0,N/A,0
Dominium USD,0.750733,-0.000027,0,22,0
The Box USD,0.003823,-0.000023,0,107,0
Doont Buy USD,0.00076,-0.000004,0,122,0
Hydranet USD,0.05265,0.002961,0,"4,307",0
Fragmint USD,0.002126,0,0,21,0
LORD SHEN USD,0,0,0,26,0
EscoinToken USD,2.8649,0.0095,0,"541,304",0
Meta Utopia USD,4.2305,-0.056,0,"63,629",0
minionseth USD,0,0,0,"1,804",0
BYTZ USD,0.00062,-0.000003,0,373,0
Fisco Coin USD,1.249,-0.0031,0,590,0
Baby Alvey USD,0.0000003,0,0,6,0
King Kong USD,0.00000002,0,0,683,0
Mantis USD,0.027197,-0.000241,0,0,0
SHIBONK USD,0.515402,-0.035564,0,"3,621",0
P2P Taxi Token USD,0.00000079,0,0,8,0
Kaeru USD,0.000091,0,0,23,0
DSquared Governance Token USD,3.5368,-0.036,0,6,0
Buff Samo USD,0.00000012,-0.00000001,0,11,0
Viblos USD,0.000137,0.000001,0,"3,765",0
Yorkie Doge USD,0.00000001,0,0,1,0
Chainback USD,0.000319,-0.000008,0,416,0
GSENetwork USD,0.000022,0,0,"10,390",0
Day Of Defeat 2.0 USD,0.00000005,0,0,124,0
OEC BTC USD,"30,518.55",-226.98,0,"31,620",0
TURBO INU USD,0,0,0,12,0
MacaronSwap USD,0.050185,0.000159,0,"8,884",0
Billy Token USD,0.00000097,0.00000001,0,495,0
PARMA Fan Token USD,0.078731,-0.00061,0,"77,437",0
Berylbit Layer-3 Network (old) USD,0.000056,-0.000001,0,16,0
Hehe Ape Coin USD,0,0,0,N/A,0
Pinknode USD,0.001918,0,0,191,0
TIGGER USD,0.000286,0,0,148,0
Galaxy Finance USD,0.0083,-0.00001,0,39,0
Sheikh Pepe USD,0.00000087,-0.00000001,0,"5,137",0
CoW Protocol USD,0.071377,-0.00042,0,"6,678",0
BOY X HIGHSPEED USD,0.001628,-0.000031,0,"21,892",0
Bread USD,0,0,0,0,0
WINR Protocol USD,0.01996,-0.002299,0,"345,370",0
Sonic Suite USD,0.000358,0,0,154,0
kiwi USD,0.008478,-0.000649,0,"1,193",0
Dystopia USD,0.000211,-0.000004,0,65,0
Age of Tanks USD,0.000672,-0.000001,0,26,0
Ethereans USD,1.7016,0.1846,0,"11,495",0
Wonka Capital USD,0.00000002,0,0,666,0
FLOKI CEO USD,0,0,0,"197,517",0
NMKR USD,0.001905,-0.000023,0,"8,941",0
Black Token USD,0.000266,0.000069,0,"34,786",0
Wombex WOM USD,0.031523,-0.002627,0,669,0
GrabCoinClub USD,0.000891,-0.000058,0,"7,531",0
Tao Te Ching USD,19.4,-0.3,0,"4,987",0
Wrapped Elastos USD,1.3104,-0.0084,0,"2,717",0
Luzion Protocol USD,0.000017,0,0,37,0
Kaddex USD,0.013482,0.000105,0,N/A,0
Dominium USD,0.750733,-0.000027,0,22,0
The Box USD,0.003823,-0.000023,0,107,0
Doont Buy USD,0.00076,-0.000004,0,122,0
Hydranet USD,0.05265,0.002961,0,"4,307",0
Fragmint USD,0.002126,0,0,21,0
LORD SHEN USD,0,0,0,26,0
EscoinToken USD,2.8649,0.0095,0,"541,304",0
Meta Utopia USD,4.2305,-0.056,0,"63,629",0
minionseth USD,0,0,0,"1,804",0
BYTZ USD,0.00062,-0.000003,0,373,0
Fisco Coin USD,1.249,-0.0031,0,590,0
Baby Alvey USD,0.0000003,0,0,6,0
King Kong USD,0.00000002,0,0,683,0
Mantis USD,0.027197,-0.000241,0,0,0
SHIBONK USD,0.515402,-0.035564,0,"3,621",0
P2P Taxi Token USD,0.00000079,0,0,8,0
Kaeru USD,0.000091,0,0,23,0
DSquared Governance Token USD,3.5368,-0.036,0,6,0
Buff Samo USD,0.00000012,-0.00000001,0,11,0
Viblos USD,0.000137,0.000001,0,"3,765",0
Yorkie Doge USD,0.00000001,0,0,1,0
Chainback USD,0.000319,-0.000008,0,416,0
GSENetwork USD,0.000022,0,0,"10,390",0
Day Of Defeat 2.0 USD,0.00000005,0,0,124,0
OEC BTC USD,"30,518.55",-226.98,0,"31,620",0
QuipuSwap Governance Token USD,0.209546,0.008613,0,N/A,0
PMG Coin USD,0.000547,0.000062,0,"3,037",0
XNODE USD,0.027502,-0.000244,0,4,0
LunchDAO USD,0.00011,0,0,"48,502",0
Wrapped Star USD,"2,397.24",-50.17,0,"29,002",0
ABCMETA USD,0.000024,0,0,270,0
USD Velero Stablecoin USD,0.00000021,0,0,0,0
LCG USD,0.0042,0,0,0,0
Grumpy Cat USD,0.000278,-0.000039,0,"1,065",0
All In AI USD,0.000156,-0.000003,0,799,0
Satoshis Vision USD,0.002605,-0.000035,0,85,0
Lucky Roo USD,0.00000006,-0.00000003,0,"1,864",0
Jointer USD,0.029365,0.003244,0,"126,928",0
FOFO Token USD,0.00000002,0,0,"3,866",0
Relation Labs USD,0.053599,0.000024,0,1.409M,0
BSC Gold USD,0.000034,-0.000003,0,84,0
STOA Network USD,0.031494,-0.000515,0,56,0
Anypad USD,0.000383,0.000009,0,59,0
Cells Finance (Arbitrum) USD,0.00000114,0,0,16,0
Finance AI USD,0.000068,-0.000001,0,7,0
X Social Network USD,0.000211,0.000034,0,"101,879",0
Glory Finance USD,0.084829,-0.027109,0,"93,854",0
IL CAPO OF CRYPTO USD,0.001879,-0.000017,0,1.467M,0
PinHub USD,0.007338,-0.00006,0,"1,713",0
Phantom USD,0.000125,0,0,56,0
Crypviser USD,0.002069,-0.000015,0,0,0
Shadowcats USD,0.120848,-0.001182,0,273,0
DIAMOND USD,6.5009,-0.001,0,11,0
Poopska USD,0.000014,0,0,1,0
MetaXCosmos USD,0.00000082,0,0,1,0
ZYX USD,0.006455,0,0,7,0
Devikins USD,0.000461,-0.00003,0,"15,109",0
Kang3n USD,0.00722,-0.00005,0,3,0
ThisisFine USD,0,0,0,45,0
BRITARIA USD,0.005725,0,0,229,0
Plutus ARB USD,0.687447,-0.044451,0,"24,813",0
UpDeFi USD,0.000049,0,0,4,0
Sohi Meme USD,0.00000003,0,0,120,0
Fatih Karag?mr?k SK Fan Token USD,0.00083,0.000083,0,"19,644",0
Bear Meme USD,0,0,0,12,0
Perproject USD,0.038506,-0.000235,0,"4,742",0
YoloCash USD,0.001618,0.000048,0,"50,668",0
USN USD,0.998886,-0.000086,0,3,0
Midway AI USD,0.000884,0,0,36,0
Jesus Coin USD,0,0,0,"2,519",0
Rizespor Token USD,0.168987,0.000737,0,906,0
YoloCash USD,0.001618,0.000048,0,"50,668",0
USN USD,0.998886,-0.000086,0,3,0
Midway AI USD,0.000884,0,0,36,0
Jesus Coin USD,0,0,0,"2,519",0
Rizespor Token USD,0.168987,0.000737,0,906,0
Shib Generating USD,0.00000814,-0.00000007,0,"29,843",0
NftyPlay USD,0.000181,0.000001,0,"12,761",0
The Inu USD,0,0,0,76,0
MAXX Finance USD,0.00000324,0,0,11,0
Wise Token USD,0.143898,0.000756,0,"8,384",0
yOUcash USD,0.500169,-0.00008,0,"353,463",0
SuiFloki-Inu USD,0.00000304,0.00000003,0,1,0
XDAO USD,0.782853,0.00853,0,"19,910",0
Grave USD,0.011885,-0.000338,0,414,0
KEK USD,0.00000002,0,0,"259,024",0
BitCanna USD,0.011866,-0.000039,0,113,0
EverSAFUv2 USD,0.000393,-0.00003,0,799,0
BeerusCat USD,0,0,0,16,0
GogolCoin USD,0.007859,0.001464,0,"241,464",0
World of Legends USD,0.227031,0.011967,0,"8,526",0
Revolotto USD,0.019956,-0.000103,0,55,0
Media Network USD,7.8322,-0.0294,0,"14,369",0
TrumpPepe USD,0.000025,0,0,796,0
SocialAI USD,0.001471,0.000159,0,"5,294",0
AndaGold USD,0.000038,-0.000001,0,182,0
Liquid CRO USD,0.059696,0.000038,0,"14,249",0
Bugs Bunny (BSC) USD,0,0,0,0,0
Mr Burns USD,0,0,0,"2,336",0
Nero Token USD,0.002477,-0.000124,0,"8,614",0
The Ordinals Council USD,342.25,33.96,0,"17,680",0
R U Generous USD,2.895,0,0,497,0
UnityCore Protocol USD,0.009115,-0.000442,0,466,0
stake.link USD,0.149232,0.006682,0,158,0
One Share USD,1.3526,-0.0012,0,"10,443",0
CRYN USD,10.35,-0.17,0,"189,684",0
Fair BERC20 USD,0.013095,-0.001867,0,1.497M,0
Michael Jordan Coin USD,0,0,0,613,0
CRYPTOFRUITS USD,0.000402,0.000003,0,0,0
ZilWall USD,0.052137,-0.000347,0,30,0
CryptoMoonShot USD,0.000032,0.000002,0,"2,443",0
ZilWall Paint USD,0.000602,-0.000004,0,6,0
Joseon Mun USD,0.009999,-0.000002,0,"79,350",0
DOGGO USD,0,0,0,"133,288",0
CAW CEO USD,0,0,0,"51,937",0
SONGOKU USD,0,0,0,495,0
ReduX USD,0.579079,0.016912,0,"38,981",0
Pepona USD,0,0,0,28,0
Copiosa Coin USD,0.011184,0.00011,0,"4,845",0
FreeRossDAO USD,0.000055,-0.000002,0,"62,957",0
Gem Pad USD,0.003342,-0.000032,0,62,0
StaFi Staked BNB USD,280.12,12.67,0,277,0
PulseAI USD,0.00000768,-0.00000012,0,"93,655",0
Dragon Mainland Shards USD,0.000049,0.000003,0,"9,473",0
Maximus Coin USD,0.018012,-0.000003,0,"4,544",0
T-800 USD,0.00000341,0,0,N/A,0
Fat Cat Killer USD,0.00000004,0,0,"3,328",0
0xGame (Sentient) USD,0.0000055,0,0,19,0
Terra Classic USD (Wormhole) USD,0.012365,0.000309,0,"811,182",0
TIPO Token USD,0.035977,-0.000165,0,108,0
Gooeys USD,0.000014,0,0,69,0
Shinjarium USD,0,0,0,21,0
Five Star Coin USD,0.003361,-0.00003,0,7,0
Pando USD USD,0.986799,-0.001482,0,N/A,0
Genesis Wink USD,0.000831,0,0,"8,243",0
Elon Musk USD,0.00000218,0,0,113,0
Red Floki USD,0,0,0,40,0
happy birthday coin USD,0.00255,-0.000104,0,"2,600",0
ShibKiller USD,0,0,0,50,0
PEPEPi USD,0,0,0,264,0
Musk Dao USD,0.000426,-0.000048,0,"327,812",0
VeraOne USD,63.39,0.91,0,"25,226",0
BabyAMA USD,0,0,0,"51,190",0
ITEMVERSE USD,0.000364,0.000004,0,"49,155",0
GenieBot USD,0.008343,-0.002501,0,"88,692",0
Nomadland USD,0,0,0,0,0
Melody USD,0.003599,-0.000024,0,4,0
MONK USD,0.000985,-0.000027,0,38,0
Sovi Finance USD,0.175197,0.00165,0,55,0
HOLD VIP USD,0,0,0,"272,684",0
The Moon Shiba USD,0,0,0,0,0
Avoteo USD,0.001497,0.000012,0,35,0
poundtoken USD,1.282,-0.0422,0,"2,024",0
Gyro USD,1.9668,-0.0021,0,292,0
Kinder Inu USD,0.000217,0.000049,0,"1,844",0
Goat Gang USD,5.669,0.1263,0,"74,820",0
Janus Network USD,0.091969,0.000664,0,"14,099",0
MONKEE USD,0,0,0,15,0
Metamorphosis AI USD,0,0,0,1,0
MetaReset USD,0.000013,0,0,69,0
Moses Coin USD,0,0,0,"1,774",0
Wakanda Inu USD,0,0,0,"2,994",0
Marosca Inu USD,0,0,0,57,0
MoonEdge USD,0.002793,-0.000019,0,3,0
Hanu Yokia USD,0.00000005,0,0,228,0
I will poop it NFT USD,0.00000001,0,0,"84,732",0
NADA Protocol Token USD,0.000899,-0.000025,0,"15,363",0
Sugar Kingdom USD,0.000113,0,0,1,0
MR BOB COIN USD,0.00000466,-0.00000012,0,633,0
StepEx USD,0.001,0.000346,0,"104,919",0
Pulse Heart USD,0.00000139,0,0,11,0
Jinbi Token USD,"5,076.96",-10.96,0,"97,680",0
MortyPad USD,0,0,0,83,0
ShibLa USD,0,0,0,278,0
Cryptolic USD,0,0,0,853,0
Huny USD,0.000358,0.000001,0,43,0
FOX TOKEN USD,0,0,0,0,0
XGOLD COIN USD,0.001632,-0.000162,0,0,0
Quoll Finance USD,0.002233,-0.000039,0,215,0
Stripto USD,0.00000213,-0.00000001,0,"30,524",0
Ookeenga USD,0.001941,-0.00001,0,"25,780",0
Happiness Token USD,0.10926,0,0,55,0
ChinaZilla USD,0,0,0,215,0
BlockCDN USD,0.000338,-0.000015,0,"28,385",0
Level Finance USD,"135,859.55",-656.94,0,"15,503",0
Flair Defi USD,0.000493,-0.000007,0,146,0
Pizon USD,0.107462,-0.002925,0,"2,384",0
Pepetoshi Nakamoto USD,0.00000166,-0.00000009,0,929,0
Hedge USD USD,0.98791,-0.001027,0,"1,157",0
TRUMP - Let's Make Memes Great Again USD,0,0,0,545,0
Frytoken USD,0,0,0,101,0
FUD Galore USD,0.000027,0,0,4,0
Bitcoin File USD,0.000404,-0.000006,0,"7,669",0
AirCoin USD,0.00000004,0,0,456,0
Massive Protocol USD,0.344815,-0.016071,0,5.742M,0
Aavegotchi FOMO USD,0.002186,-0.000053,0,930,0
Ommniverse USD,1.5114,-0.1217,0,"351,968",0
Meme Lordz USD,0.001328,-0.000008,0,22,0
Camelot Token USD,"1,375.45",-12.24,0,"668,035",0
Alterna Network USD,0.0000073,-0.00000071,0,92,0
Navigator DAO USD,0.00000647,0,0,0,0
Crolon Mars USD,0.000229,0.000012,0,"1,007",0
XLSD Coin USD,0.007858,0,0,N/A,0
TrueCNH USD,0.127918,0.00138,0,204,0
Quantum Leap USD,0.000118,-0.000008,0,99,0
Universal ETH USD,"1,924.79",0,0,204,0
OVO USD,0.018813,-0.000691,0,"14,791",0
GMCash Finance USD,0.000838,0,0,1,0
Zenlink USD,0.012426,0.000914,0,"10,374",0
Little Angry Bunny v2 USD,0,0,0,20,0
AiShiba USD,0,0,0,"657,415",0
RankerDAO USD,0.002929,0.00036,0,"368,880",0
BitDiamond USD,0.009586,-0.000014,0,"21,977",0
EtherSmart USD,0.011402,-0.000002,0,8,0
AiAkita USD,0,0,0,"134,644",0
LUNARBURN USD,0.000014,0,0,1,0
Meme Gold USD,0.000045,0,0,0,0
Star Token USD,0.049487,-0.000008,0,"3,930",0
LemoChain USD,0.000092,0.000003,0,"8,825",0
Mother of Memes USD,0,0,0,132,0
Lulu Market USD,0.000044,-0.000001,0,576,0
Style USD,0.00723,-0.000686,0,"1,017",0
LionCEO USD,0.000013,0,0,13,0
FlokiPepe USD,0,0,0,"3,153",0
Scrappy USD,0,0,0,0,0
PulseMoonR USD,0.000552,-0.00003,0,875,0
Galaxy Finance USD,0.516764,-0.012657,0,"143,723",0
Coinary Token USD,0.001867,-0.000032,0,370,0
NOWAI USD,0.00003,-0.00001,0,"5,602",0
TruePNL USD,0.019133,0.000311,0,"10,443",0
AstridDAO Token USD,0.001738,0.00004,0,556,0
PulseDogecoin USD,0.261082,0.014923,0,"1,418",0
Platform of meme coins USD,0.00000001,0,0,1.63M,0
Kek Token USD,0,0,0,"1,018",0
The Neko USD,0.00000826,0.00000005,0,31,0
Bull inu USD,0,0,0,84,0
Decentify USD,0.000091,0,0,506,0
Rise of Elves USD,2.6985,0.1143,0,130,0
Vince chain USD,0.000013,0,0,2,0
beFITTER USD,0.00005,0,0,40,0
Corecuties USD,0.045969,-0.005139,0,131,0
PEPEPOW USD,0.0000056,0.00000054,0,526,0
GreenTrust USD,0,0,0,"2,555",0
Bodrumspor Fan Token USD,0.002599,0.000267,0,"8,532",0
OTCBTC Token USD,0.001528,-0.000014,0,"9,671",0
Mario Inu BSC USD,0.00000008,0,0,165,0
Crosschain IOTX USD,0.019193,0.000323,0,"3,339",0
PinkSale USD,152.83,-0.43,0,"71,226",0
Upsorber USD,0.00000004,0,0,N/A,0
PEPE COIN BSC USD,0,0,0,"2,635",0
SEC USD,0.00000001,0,0,"10,355",0
VINLINK USD,0.00000207,-0.00000003,0,372,0
ARTT Network USD,0.015867,-0.001644,0,"352,801",0
Catgirl Optimus USD,0.000103,0.000023,0,"10,690",0
BinStarter USD,0.048007,-0.00101,0,"2,756",0
V-Dimension USD,0.29084,-0.006148,0,"75,467",0
Harmonyville USD,0.0004,-0.000004,0,0,0
Wrapped Staked HEC USD,17.72,-2.01,0,"8,896",0
Viva Classic (new) USD,0.00000124,0.00000007,0,"21,558",0
MOBLAND USD,0.000778,-0.000005,0,"10,754",0
Sponge USD,0.000136,-0.000002,0,"639,839",0
Buff Doge Coin USD,0,0,0,"64,451",0
Outer Ring MMO USD,0.003565,0.000047,0,2.418M,0
Chumbi Valley USD,0.000118,0,0,"141,301",0
zkDoge USD,0.000015,0.000001,0,"3,900",0
Tribalpunk Cryptoverse USD,0.000829,0,0,4,0
Space Crypto USD,0.000266,0,0,4,0
Perry USD,0,0,0,"3,556",0
Pepe Coin USD,0,0,0,"1,825",0
Blockchain Exchange Alliance USD,0.000093,0,0,0,0
MetaFame USD,0.000116,-0.000001,0,35,0
WealthSecrets USD,0.00000991,-0.00000015,0,61,0
StakeWise USD,0.080401,0.000012,0,"3,891",0
Stable One Rocket USD,0.240033,-0.000038,0,10,0
Stone USD,0,0,0,"2,898",0
Storepay USD,0.000038,-0.000001,0,"401,659",0
Goracle USD,0.614084,0.047116,0,"150,667",0
TrustFi Network USD,0.01996,-0.001256,0,"37,452",0
PulseFolio USD,0.000175,0,0,4,0
AEROTYME USD,0.00009,0.000008,0,"3,876",0
Bubble USD,0.00275,-0.000024,0,2,0
Raptor USD,0.000026,-0.000002,0,"769,832",0
NEON USD,0,0,0,"822,358",0
Bitcoin Vault USD,2.3295,-0.0557,0,"2,213",0
Kulupu USD,0.00085,0.00012,0,1,0
T-rexUnicornUFOSushiWomanSmokingAtomInu USD,0.00000553,0,0,433,0
Baby Doge CEO USD,0,0,0,"48,357",0
DASHI USD,0,0,0,23,0
Mare Finance USD,0.085337,0.01866,0,"10,292",0
Fat Pickle USD,0.000016,0,0,19,0
KermitTheCoin USD,0.00000465,0.00000006,0,3.409M,0
MIYAGI USD,0.000096,-0.000021,0,"1,385",0
BecoSwap Token USD,0.000242,0.000003,0,49,0
Smart Market Coin USD,0.027215,0,0,11,0
Pulse Inu USD,0,0,0,155,0
Potato USD,0.00000002,0,0,35,0
Veno Finance USD,0.119159,-0.00189,0,"48,742",0
Sucrecoin USD,0.000092,-0.000001,0,0,0
GoodMeme USD,0.00000024,0,0,48,0
ITAM Games USD,0.01486,0,0,14,0
BNB Tiger AI USD,0,0,0,310,0
RocketFi USD,0.00000037,0,0,604,0
XI JINPOOH USD,0.000073,-0.000001,0,255,0
LOL USD,0.00000104,0,0,6,0
Echelon Prime USD,1.7309,-0.0133,0,"344,242",0
EAC USD,0.00151,0,0,34,0
CELEBPLUS USD,0.002,-0.000172,0,"19,288",0
CATCEO USD,0,0,0,232,0
Beacon ETH USD,"1,878.33",-10.72,0,2.194M,0
Good Person Coin USD,0.001108,-0.000002,0,"101,051",0
Niob Finance USD,0.000853,-0.000018,0,"2,237",0
Freedom. Jobs. Business. USD,0.000107,0,0,149,0
xSAUCE USD,0.014787,-0.000156,0,"2,347",0
Catcoin BSC USD,0,0,0,49,0
Chain Relay Network USD,0.00000367,-0.0000001,0,2,0
Adalend USD,0.000984,-0.000016,0,10,0
CRED COIN PAY USD,0.05253,-0.006273,0,277,0
Ginoa USD,0.059408,0.003792,0,"61,310",0
Gary USD,0.070851,0.003079,0,"2,075",0
Beast USD,0,0,0,809,0
Peoplez USD,0.036621,-0.000028,0,"63,275",0
NEODOGECOIN USD,0.000805,0.000153,0,565,0
POGAI USD,0.000075,-0.000006,0,1.93M,0
Balancer Boosted Aave USDC USD,1.0062,0.0004,0,1.005M,0
Cz Link USD,0.000012,0,0,10,0
Aonea Coin USD,0.0035,-0.000001,0,37,0
B ONE PAYMENT USD,0.000306,-0.000003,0,0,0
Ixinium USD,0.014218,-0.000132,0,907,0
Adanaspor Fan Token USD,0.001497,0.000101,0,"6,904",0
NiiFi USD,0.00157,-0.00019,0,"9,593",0
WEDEX TOKEN V2 USD,0.000045,0.000001,0,10,0
PVC Meta USD,13.71,-0.01,0,"84,449",0
Me-in USD,0.169823,-0.015032,0,"7,830",0
Berylbit Layer-3 Network (new) USD,0.000056,0,0,11,0
HOLD USD,0.00000428,0.00000029,0,"15,588",0
SHARBI USD,0.00000281,0.00000012,0,2.547M,0
Elon's Marvin USD,0.003606,-0.000403,0,245,0
Spice Trade USD,0.000275,0,0,24,0
Guapcoin USD,0.020107,-0.000548,0,28,0
Male USD,0.00000746,0,0,189,0
DYZilla USD,0,0,0,20,0
Coritiba F.C. Fan Token USD,0.029781,0.001998,0,"10,665",0
Reign of Terror USD,0.00298,-0.000115,0,"96,123",0
The Flash USD,0.00000335,0,0,254,0
Coomer USD,0.00000002,0,0,389,0
Ribbit Token USD,0,0,0,26,0
Aura BAL USD,12.76,-0.47,0,"1,073",0
Viper Protocol USD,0.000059,-0.000001,0,0,0
AddMeFast USD,0.005463,-0.000047,0,209,0
DBXen USD,4.5011,-0.0257,0,"67,976",0
Meta Space 2045 USD,0.020503,-0.000003,0,0,0
Melos Studio USD,0.002418,0.000262,0,"292,475",0
GIBX Swap USD,0.009033,-0.000097,0,"4,311",0
ArbGPT USD,0.000059,0.000001,0,"1,682",0
SpectreSecurityCoin USD,0.000183,-0.000002,0,8,0
Balto Token USD,0.000042,-0.000002,0,307,0
CroxSwap USD,0.003183,0.000001,0,0,0
Rejuve.AI USD,0.029608,0.00066,0,"271,018",0
STAN USD,0.00000132,-0.00000001,0,27,0
FLAPPY USD,0,0,0,119,0
WiseAvax USD,0.126017,0.005682,0,"223,991",0
Doge Digger USD,0,0,0,420,0
Mercurial Finance USD,0.00053,0,0,"3,462",0
Atlas Navi USD,0.026394,-0.00123,0,"17,555",0
DNAxCAT Token USD,0.035432,-0.000186,0,"11,762",0
ArbiTen USD,9.9156,0,0,34,0
Memecoin USD,0.008024,0.000028,0,"41,511",0
SX Network USD,0.107024,-0.000789,0,"334,960",0
TOKAMAK USD,0.000068,0,0,0,0
Magpie USD,0.009584,0.000072,0,"10,244",0
BetaCarbon USD,0.023774,0.001258,0,"3,329",0
XDoge Network USD,0.00000146,0,0,"1,017",0
IOEX USD,0.005693,-0.000003,0,57,0
Universe.XYZ USD,0.000117,-0.000007,0,"4,736",0
Pi Network DeFi USD,0.00002,0,0,6,0
Red Rabbit USD,0.000052,-0.000015,0,"6,643",0
Voltz USD,0.003245,-0.000042,0,8,0
Soulsaver USD,0.083419,-0.00534,0,"10,447",0
Pollen Coin USD,0.040999,-0.00001,0,"1,779",0
HAY USD,1.0001,-0.0003,0,"269,211",0
VetMe USD,0.00061,-0.000023,0,"1,561",0
A Fund Baby USD,0.002666,0.000448,0,"31,232",0
CAD Coin USD,0.320909,-0.000076,0,"11,914",0
MusicAI USD,0.000071,0,0,34,0
Beauty Bakery Linked Operation Transaction Technology USD,0.009448,-0.000498,0,527,0
Medieval Empires USD,0.004372,-0.000075,0,"274,894",0
TeraBlock USD,0.00365,-0.00004,0,134,0
Baby CateCoin USD,0,0,0,40,0
Lybra Finance USD,1.9837,-0.1323,0,2.799M,0
BH Network USD,0.009503,-0.000169,0,"80,713",0
Profile Utility Token USD,0.000119,-0.000001,0,3,0
Aidi Finance (new) USD,0.00054,0.000014,0,179,0
Kitsumon USD,0.000028,0,0,75,0
Aerochain V2 USD,0.005401,-0.000035,0,496,0
Bit.Store USD,0.010562,0.00026,0,1.373M,0
Gami Studio USD,0.002697,0,0,20,0
PayPal tokenized stock FTX USD,53.06,-6.61,0,"2,042",0
2G CARBON COIN USD,0.072198,0.013804,0,4,0
Timeleap Finance USD,0.168848,0.002763,0,47,0
Tanks For Playing USD,0.000236,-0.00003,0,"2,257",0
Cydotori USD,0.000596,-0.000158,0,426,0
Class Coin USD,0.002767,-0.00001,0,28,0
Compound Augur USD,0.04734,0.000923,0,2,0
PaintSwap USD,0.009451,0.000287,0,"13,306",0
AmazingTeamDAO USD,0.677977,-0.017068,0,"7,111",0
NVIDIA tokenized stock FTX USD,303.01,-28.09,0,"58,391",0
Greenheart CBD USD,0.005496,-0.000145,0,"3,041",0
Xiden USD,3.5223,-0.2213,0,"134,360",0
Asymetrix USD,0.448369,-0.000416,0,"73,653",0
Token USD,0.000205,-0.000007,0,275,0
Black Stallion USD,0.127477,-0.008091,0,"9,792",0
DevOps USD,0.000016,0,0,1,0
Investin USD,0.052382,0.000028,0,3,0
OB Token USD,0.022545,-0.000143,0,5,0
Scrap USD,0.043163,-0.000076,0,0,0
AppleSwap USD,0,0,0,1,0
AntNetworX USD,0.001252,0,0,"2,445",0
Gunstar Metaverse Currency USD,0.00095,-0.000001,0,18,0
Gold Cash USD,0.399986,-0.022291,0,"3,048",0
BattleFly USD,1.2416,-0.1205,0,"25,146",0
OneBit USD,0.000309,-0.000001,0,1,0
Rank Token USD,0.0023,0,0,0,0
YoungParrot USD,0.00000003,0,0,223,0
WAGMI on Solana USD,0.00000004,0,0,0,0
Maia USD,24.77,-0.48,0,"29,432",0
CluCoin USD,0,0,0,"3,187",0
Griffin Art Ecosystem USD,0.00000006,0,0,4,0
DogeFather USD,0,0,0,13,0
Contents Shopper Token USD,0.0006,-0.00002,0,"28,717",0
iPSCOIN USD,3.6147,0.2291,0,"92,789",0
Ratio Stable Coin USD,0.987964,-0.000233,0,8,0
JEW PEPE USD,0,0,0,166,0
ZOO Crypto World USD,0.000356,-0.000003,0,71,0
SHD CASH USD,0.000065,0,0,1,0
xDAI USD,1.0024,-0.0004,0,"312,013",0
Doge on Pulsechain USD,0.00000001,0,0,"101,771",0
C3 USD,0.000167,0.000006,0,"1,037",0
Shack Token USD,0.000111,0.00001,0,261,0
Shiba Floki Inu USD,0,0,0,512,0
MapMetrics USD,0.001803,-0.000068,0,158,0
Safegem USD,0,0,0,0,0
Crypto Classic USD,0.0008,0,0,41,0
